Variable	Coefficient
Intercept	30.7873138968084
cg19623054	0.512754095897794
cg08493959	-0.114415933260801
cg16750801	-0.108455978139747
cg11026555	-0.857942434874212
cg01610165	1.13723550137313
cg21863110	0.395141937148355
cg02741882	0.238208449590359
cg02773945	-2.19188229601058
cg06340161	0.574977534428814
cg24258699	-0.0369291191142884
cg12920180	0.201720522485818
cg16969368	1.1843508984543
cg04503319	-1.43138616655849
cg13378934	1.15566668067793
cg26917540	-0.591620761347008
cg22866825	-0.473821456105187
cg05142617	-1.01514007230811
cg07357157	-0.251506648362082
cg22900415	0.342472700356376
cg15855170	-0.344448891530228
cg17939040	0.986839483428353
cg19381766	-0.11240624020884
cg19757176	0.10993609698361
cg23851167	0.874490623672145
cg00931644	0.426426455051525
cg23520688	3.54929643760787
cg17485681	0.00306320918154153
cg20164887	0.0478494478183015
cg13697378	0.308577542747596
cg07806886	2.22960514111787
cg25090514	2.83157396459786
cg02928699	0.830824900129416
cg09432590	1.57851351436844
cg10003262	0.22513469614267
cg09105193	0.0219294680670012
cg08915171	0.789189546619558
cg05516505	-0.109474184136547
cg20742389	-0.616351668668207
cg01176433	-0.187380362066937
cg22856324	0.234137808951876
cg09756089	0.576375408573368
cg16751357	-0.550244371730473
cg11606444	-0.0404185971565081
cg12173150	-0.461435098519249
cg26161329	2.87901674566948
cg06010459	0.0197217675610117
cg08121652	0.135960622838642
cg13610659	0.31685968069648
cg10906284	0.296883329067123
cg00298324	0.00482629905281335
cg03590328	-0.507157477977144
cg23973429	0.948773968045147
cg23606718	7.1843578562094
cg00759807	-0.262608573021351
cg13785123	0.00838245546915515
cg05351257	-2.34014083523564
cg10151367	0.382712883312566
cg22452230	-1.07272288792031
cg01235820	0.0176998617681809
cg27617225	0.278926488653146
cg27314569	0.294672139243546
cg19004465	0.785068562711018
cg21845957	0.400526457188146
cg07951347	-0.185083572715787
cg22894896	1.13168877249437
cg25212131	0.0701292268970281
cg15033140	0.303511019339299
cg18667659	0.337530063855852
cg09605494	-1.55589259402367
cg04945331	-1.33344977194171
cg08796240	0.0766634545689282
cg27344587	0.0821057358937422
cg10253847	-0.201101002462289
cg03306615	0.115020222757758
cg24505618	-1.14519243399402
cg22796507	-1.0642039522831
cg05714552	-1.88334930961199
cg20809087	0.644793760200285
cg09410607	1.19765052324982
cg17757602	1.57622930364338
cg14704921	1.0610697957385
cg24750513	0.0166954155657913
cg16703882	2.31280559881472
cg21927946	1.30629316238549
cg14514483	0.60791009659789
cg23904955	0.123423130577585
cg17384889	-1.18814707929932
cg09984392	1.6673300657461
cg22382836	0.468371937301839
cg04021697	-0.353064197917196
cg16000989	0.0403247862737436
cg12307638	-0.00706045224119165
cg11039694	0.163991420913918
cg04328762	-1.40062268759822
cg01620164	-1.3861777110642
cg00135497	1.16566368761109
cg00593900	0.0914436990192062
cg21139325	0.0622038784666301
cg16061228	-1.37982335989053
cg00664406	1.09827074902612
cg14660788	0.342285353856703
cg14692377	0.849345560378176
cg04462774	1.24659109260233
cg10244666	-0.157748739258944
cg00001583	-0.166219307835887
cg10107890	0.0925824392704193
cg23039195	0.312756815254842
cg14481208	0.221790622965025
cg08770961	-0.233684679978557
cg09692396	-1.10730387775832
cg00143364	0.146554678659106
cg21570988	0.481810527313596
cg24151926	-0.17821780196237
cg21467614	-1.62082585863699
cg19227031	-1.09941817975711
cg08428292	-0.371619528541342
cg05991454	1.41181232306444
cg02519751	0.193096410909772
cg06419846	1.80247621358741
cg17100943	0.422358931926945
cg09224393	-0.0612009937811169
cg16480692	0.257754692514313
cg19127283	2.01898750967753
cg16448702	0.00480357165228464
cg02711397	0.369630141834747
cg11324116	0.497209061147202
cg07687131	0.0993511406115286
cg13609385	0.631015943480171
cg26775087	0.0473245697179385
cg03054277	0.491582506322703
cg04400972	1.5208419778967
cg09867669	-2.24703858873354
cg26612409	1.62963885523342
cg11714320	-0.975542010610478
cg15046818	0.0624116267430232
cg04748223	-0.140943328362925
cg15027907	-0.614187096512317
cg22703659	1.11286129582257
cg06782035	0.362856890668555
cg16941122	0.361040225756271
cg03614193	0.522058489711995
cg09693106	0.0988570927406299
cg22708738	1.12566182248348
cg07207652	0.706674586656181
cg04036049	0.654697959004264
cg26985878	0.0375479750223122
cg05677062	0.810130643590605
cg23169957	-1.55400173773108
cg13247398	-0.694903007645752
cg15311822	0.353617718379289
cg25482146	-0.191567772805874
cg20294304	3.18125985276538
cg14781189	-0.238922567664443
cg01022974	2.01689726827474
